sounds,instrument,technique
n_ClBb-ord-C5-ff.wav,clarinet,ordinario
n_Gtr-pont-C5-mf-1c.wav,guitare,sul_ponticello
n_Hn-flatt-C3-ff.wav,french_horn,flatterzunge
n_Gtr-ord-C4-ff.wav,guitare,ordinario
n_Tbn-stacc-C4-mf.wav,trombone,staccato
n_Gtr-pont-C4-mf-2c.wav,guitare,sul_ponticello
n_ClBb-ord-C4-mf.wav,clarinet,ordinario
n_Hp-ord-C4-ff.wav,harpa,ordinario
n_Vc-pizz_bartok-C5-ff-1c.wav,cello,pizzicato_bartok
n_Acc-ord-C7-ff.wav,accordion,ordinario
n_Xyl_GA_p_C6.wav,xylophone,soft_stick
n_Cb-pizz_lv-C3-mf.wav,doublebass,pizzicato
n_Vc-pizz_lv-C4-ff.wav,cello,pizzicato
n_Tbn-ord-C4-mf.wav,trombone,ordinario
n_EH-L_pA_sus_mf_C4.wav,english_horn,ordinario
n_Bn-ord-C3-mf.wav,bassoon,ordinario
n_Vc-nonvib-C4-ff.wav,cello,non_vibrato
n_Vn-harm_artificial-C7-mf.wav,violin,artificial_harmonic
n_MA_ES_A-So_f_C2.wav,marimba,soft_stick
n_Cb-harm_artificial-C5-mf.wav,doublebass,artificial_harmonic
n_Vn-harm_artificial-C6-mf.wav,violin,artificial_harmonic
n_Hn-ord-C2-mf.wav,french_horn,ordinario
n_Hp-ord-C1-pp.wav,harpa,ordinario
n_Vc-pizz_lv-C3-mf.wav,cello,pizzicato
n_Tbn-brassy-C4-ff.wav,trombone,brassy
n_ASax-ord-C5-mf.wav,alto_saxophone,ordinario
n_Fl-flatt-C4-ff.wav,flute,flatterzunge
n_Xyl_HO_f_C6.wav,xylophone,hard_stick
n_ClBb-ord-C5-pp.wav,clarinet,ordinario
n_Vn-pizz_bartok-C5-ff.wav,violin,pizzicato_bartok
n_Fl-aeolian+ord-C4-pp.wav,flute,semi_eolian
n_BTb-play+sing_aug4th-C3-mf.wav,bass_tuba,sing_play
n_Acc-ord-C7-pp.wav,accordion,ordinario
n_Gsp_HH_p_C8.wav,glokenspiel,soft_stick
n_Hn-stacc-C3-mf.wav,french_horn,staccato
n_Ob-ord-C4-pp.wav,oboe,ordinario
n_Bn-flatt-C5-mf.wav,bassoon,flatterzunge
n_Vn-pizz_lv-C7-pp.wav,violin,pizzicato
n_BTb-ord-C2-mf.wav,bass_tuba,ordinario
n_MA_ES_A-Ha_p_C7.wav,marimba,hard_stick
n_ClBb-mul-C#4+_A#5_D#6_E5-mf.wav,clarinet,multiphonic
n_Vn-pizz_bartok-C4-ff.wav,violin,pizzicato_bartok
n_Xyl_HO_f_C8.wav,xylophone,hard_stick
n_Tbn-flatt-C4-pp.wav,trombone,flatterzunge
n_Vib_bow_sp-0_kurz_C5.wav,vibraphone,vib_arco
n_Vc-ord-C3-mf.wav,cello,ordinario
n_Fl-aeolian+ord-C5-ff.wav,flute,semi_eolian
n_Gtr-ord-C5-pp.wav,guitare,ordinario
n_Cb-pizz_lv-C4-ff.wav,doublebass,pizzicato
n_Va-ord-C3-ff.wav,alto,ordinario
n_TpC-brassy-C6-ff.wav,trumpet,brassy
n_Cb-pizz_lv-C2-ff.wav,doublebass,pizzicato
n_ASax-mul-E4_F5+_G4-mf.wav,alto_saxophone,multiphonic
n_Vc-nonvib-C5-ff.wav,cello,non_vibrato
n_Acc-ord-C2-ff.wav,accordion,ordinario
n_EH-L_pA_sus_f_C5.wav,english_horn,ordinario
n_Va-pont-C5-mf.wav,alto,sul_ponticello
n_Hn-brassy-C3-ff.wav,french_horn,brassy
n_ClBb-flatt-C6-ff.wav,clarinet,flatterzunge
n_Vc-pont-C3-mf-3c.wav,cello,sul_ponticello
n_MA_ES_A-Ha_f_C6.wav,marimba,hard_stick
n_ASax-ord-C4-pp.wav,alto_saxophone,ordinario
n_KFA_Flatter_f_C3.wav,contrabassoon,flatterzunge
n_Hp-ord-C2-pp.wav,harpa,ordinario
n_Va-nonvib-C5-pp.wav,alto,non_vibrato
n_Va-ord-C6-ff.wav,alto,ordinario
n_ClBb-mul-D3_C4-mf.wav,clarinet,multiphonic
n_AFL-L_oV_pA_sus_p_C6.wav,alto_flute,ordinario
n_MA_ES_A-Ha_f_C4.wav,marimba,hard_stick
n_Vc-harm_artificial-C5-mf.wav,cello,artificial_harmonic
n_EH_Flatter_f_C4.wav,english_horn,flatterzunge
n_BKL-L_pA_sus_pp_C2.wav,bass_clarinet,ordinario
n_Fl-mul-G#5_G4+_D6-mf.wav,flute,multiphonic
n_KFA-L_nA_sus_ff_C3.wav,contrabassoon,ordinario
n_Cb-ord-C3-ff.wav,doublebass,ordinario
n_Bn-ord-C3-pp.wav,bassoon,ordinario
n_Cb-pizz_lv-C2-pp.wav,doublebass,pizzicato
n_Bn-ord-C5-pp.wav,bassoon,ordinario
n_ASax-ord_C7-ff.wav,alto_saxophone,ordinario
n_Fl-ord-C5-pp.wav,flute,ordinario
n_Vib_ES_Ha_sp-0_f1_C5.wav,vibraphone,hard_stick
n_Acc-ord-C5-pp.wav,accordion,ordinario
n_PFL_FLatter_f_C7.wav,piccolo_flute,flatterzunge
n_Tbn-ord-C3-mf.wav,trombone,ordinario
n_TpC-flatt-C5-ff.wav,trumpet,flatterzunge
n_Xyl_GA_p_C7.wav,xylophone,soft_stick
n_Bn-mul-C#3_C3_C2_C#4-mf.wav,bassoon,multiphonic
n_Acc-ord-C8-ff.wav,accordion,ordinario
n_Fl-flatt-C7-ff.wav,flute,flatterzunge
n_Va-pizz_bartok-C6-ff.wav,alto,pizzicato_bartok
n_Fl-ord-C4-pp.wav,flute,ordinario
n_TpC-stacc-C6-mf.wav,trumpet,staccato
n_Vc-ord-C5-pp.wav,cello,ordinario
n_Vc-pizz_lv-C5-mf.wav,cello,pizzicato
n_ClBb-mul-G5+_A#3_D5-mf.wav,clarinet,multiphonic
n_AFL_flatter_p_C5.wav,alto_flute,flatterzunge
n_Cb-harm_artificial-C6-mf.wav,doublebass,artificial_harmonic
n_Xyl_GA_f_C5.wav,xylophone,soft_stick
n_TpC-ord-C4-ff.wav,trumpet,ordinario
n_EH_Flatter_f_C5.wav,english_horn,flatterzunge
n_BTb-ord-C2-pp.wav,bass_tuba,ordinario
n_Vn-ord-C6-ff.wav,violin,ordinario
n_Cb-pizz_lv-C3-pp.wav,doublebass,pizzicato
n_Vn-pizz_lv-C7-ff.wav,violin,pizzicato
